"Tegund afbrots";"Ár";"Afbrot á 10.000 íbúa";"Heildarfjöldi";"Höfuðborgarsvæði";"Landsbyggð"
"Alls";"1999";3122.4;86548;52170;34378
"Alls";"2000";3252.7;91452;56218;35234
"Alls";"2001";2916.2;83127;50027;33000
"Alls";"2002";3183.4;91542;55607;35736
"Alls";"2003";2814.9;81428;46021;35242
"Alls";"2004";2688.0;78648;44911;33599
"Alls";"2005";2118.6;62683;34787;27758
"Alls";"2006";2353.7;71631;39198;32351
"Alls";"2007";2511.8;78216;39079;38949
"Alls";"2008";2416.4;75246;39734;35222
"Alls";"2009";2342.0;74768;38070;36698
"Alls";"2010";2300.6;73525;40449;33076
"Alls";"2011";1787.4;57021;33855;22829
"Alls";"2012";1928.1;61837;36413;25219
"Alls";"2013";1644.9;53255;30960;22019
"Brot gegn valdstjórninni";"1999";5.8;160;112;48
"Brot gegn valdstjórninni";"2000";4.7;133;76;57
"Brot gegn valdstjórninni";"2001";4.4;125;91;34
"Brot gegn valdstjórninni";"2002";4.1;118;72;46
"Brot gegn valdstjórninni";"2003";8.3;241;144;96
"Brot gegn valdstjórninni";"2004";3.7;108;76;32
"Brot gegn valdstjórninni";"2005";3.5;105;58;47
"Brot gegn valdstjórninni";"2006";5.0;152;81;71
"Brot gegn valdstjórninni";"2007";8.3;259;132;127
"Brot gegn valdstjórninni";"2008";8.0;250;115;135
"Brot gegn valdstjórninni";"2009";7.0;224;125;99
"Brot gegn valdstjórninni";"2010";9.5;301;192;109
"Brot gegn valdstjórninni";"2011";9.2;295;178;117
"Brot gegn valdstjórninni";"2012";11.2;358;240;118
"Brot gegn valdstjórninni";"2013";9.9;321;223;98
"Skjalafals";"1999";14.0;388;315;73
"Skjalafals";"2000";15.8;445;344;101
"Skjalafals";"2001";13.8;392;283;109
"Skjalafals";"2002";17.8;513;380;133
"Skjalafals";"2003";11.8;340;255;80
"Skjalafals";"2004";10.6;309;207;98
"Skjalafals";"2005";11.3;333;238;91
"Skjalafals";"2006";8.4;255;188;66
"Skjalafals";"2007";10.7;333;220;106
"Skjalafals";"2008";8.9;278;170;105
"Skjalafals";"2009";9.1;290;146;144
"Skjalafals";"2010";8.4;268;168;100
"Skjalafals";"2011";9.2;292;158;129
"Skjalafals";"2012";8.3;265;146;112
"Skjalafals";"2013";6.5;212;125;83
"Kynferðisbrot";"1999";8.3;230;152;78
"Kynferðisbrot";"2000";8.1;228;161;67
"Kynferðisbrot";"2001";9.9;281;183;98
"Kynferðisbrot";"2002";11.3;324;191;133
"Kynferðisbrot";"2003";12.4;359;239;119
"Kynferðisbrot";"2004";9.5;277;162;115
"Kynferðisbrot";"2005";9.7;288;182;106
"Kynferðisbrot";"2006";9.2;281;161;120
"Kynferðisbrot";"2007";11.2;349;197;151
"Kynferðisbrot";"2008";11.8;368;185;183
"Kynferðisbrot";"2009";10.0;318;179;139
"Kynferðisbrot";"2010";10.2;323;200;123
"Kynferðisbrot";"2011";11.0;365;220;143
"Kynferðisbrot";"2012";11.0;367;236;129
"Kynferðisbrot";"2013";22.6;731;416;312
"Líkamsmeiðingar";"1999";50.2;1392;963;429
"Líkamsmeiðingar";"2000";53.6;1506;1053;453
"Líkamsmeiðingar";"2001";51.0;1455;987;468
"Líkamsmeiðingar";"2002";46.3;1330;876;454
"Líkamsmeiðingar";"2003";45.1;1304;869;435
"Líkamsmeiðingar";"2004";41.0;1199;756;440
"Líkamsmeiðingar";"2005";43.9;1299;817;481
"Líkamsmeiðingar";"2006";41.6;1265;833;432
"Líkamsmeiðingar";"2007";45.4;1413;925;481
"Líkamsmeiðingar";"2008";42.3;1316;780;528
"Líkamsmeiðingar";"2009";36.2;1155;683;472
"Líkamsmeiðingar";"2010";37.0;1175;778;397
"Líkamsmeiðingar";"2011";33.8;1078;647;431
"Líkamsmeiðingar";"2012";35.6;1142;735;404
"Líkamsmeiðingar";"2013";36.7;1188;766;413
"Brot gegn friðhelgi einkalífs";"1999";25.6;710;511;199
"Brot gegn friðhelgi einkalífs";"2000";26.9;757;513;244
"Brot gegn friðhelgi einkalífs";"2001";26.6;757;542;215
"Brot gegn friðhelgi einkalífs";"2002";26.4;758;536;222
"Brot gegn friðhelgi einkalífs";"2003";30.2;874;610;261
"Brot gegn friðhelgi einkalífs";"2004";25.1;734;505;228
"Brot gegn friðhelgi einkalífs";"2005";26.2;774;499;275
"Brot gegn friðhelgi einkalífs";"2006";23.9;726;465;261
"Brot gegn friðhelgi einkalífs";"2007";18.5;575;370;204
"Brot gegn friðhelgi einkalífs";"2008";17.9;556;330;224
"Brot gegn friðhelgi einkalífs";"2009";16.1;515;301;214
"Brot gegn friðhelgi einkalífs";"2010";19.5;620;392;228
"Brot gegn friðhelgi einkalífs";"2011";15.9;507;314;192
"Brot gegn friðhelgi einkalífs";"2012";18.6;596;368;223
"Brot gegn friðhelgi einkalífs";"2013";17.5;565;351;211
"Auðgunarbrot";"1999";361.2;10012;8173;1839
"Auðgunarbrot";"2000";372.3;10466;8482;1984
"Auðgunarbrot";"2001";368.2;10496;8571;1925
"Auðgunarbrot";"2002";394.0;11330;9290;2040
"Auðgunarbrot";"2003";347.1;10041;7985;2022
"Auðgunarbrot";"2004";332.1;9716;7921;1778
"Auðgunarbrot";"2005";205.6;6082;4857;1200
"Auðgunarbrot";"2006";216.7;6596;5156;1419
"Auðgunarbrot";"2007";198.4;6177;4882;1278
"Auðgunarbrot";"2008";257.8;8029;6513;1491
"Auðgunarbrot";"2009";299.5;9561;7701;1860
"Auðgunarbrot";"2010";271.0;8608;6780;1828
"Auðgunarbrot";"2011";221.3;7059;5430;1523
"Auðgunarbrot";"2012";200.8;6439;4989;1366
"Auðgunarbrot";"2013";185.8;6014;4751;1197
"Eignaspjöll";"1999";153.0;4241;2900;1341
"Eignaspjöll";"2000";148.7;4180;2892;1288
"Eignaspjöll";"2001";156.5;4462;3262;1200
"Eignaspjöll";"2002";144.0;4141;2948;1193
"Eignaspjöll";"2003";134.2;3883;2708;1175
"Eignaspjöll";"2004";120.9;3536;2545;991
"Eignaspjöll";"2005";89.3;2643;1687;955
"Eignaspjöll";"2006";114.1;3472;2302;1169
"Eignaspjöll";"2007";104.0;3240;2132;1108
"Eignaspjöll";"2008";97.4;3032;1998;1034
"Eignaspjöll";"2009";96.4;3076;1994;1082
"Eignaspjöll";"2010";94.5;3000;1933;1067
"Eignaspjöll";"2011";76.1;2428;1536;891
"Eignaspjöll";"2012";64.3;2062;1300;762
"Eignaspjöll";"2013";56.1;1817;1199;618
"Nytjastuldur";"1999";16.5;456;346;110
"Nytjastuldur";"2000";15.2;427;316;111
"Nytjastuldur";"2001";13.6;388;305;83
"Nytjastuldur";"2002";19.7;566;468;98
"Nytjastuldur";"2003";14.2;412;320;92
"Nytjastuldur";"2004";15.0;438;352;86
"Nytjastuldur";"2005";11.8;348;259;89
"Nytjastuldur";"2006";15.7;478;366;111
"Nytjastuldur";"2007";14.0;436;347;89
"Nytjastuldur";"2008";13.1;408;307;101
"Nytjastuldur";"2009";15.3;489;402;87
"Nytjastuldur";"2010";13.2;420;360;60
"Nytjastuldur";"2011";12.8;407;328;79
"Nytjastuldur";"2012";9.4;302;238;64
"Nytjastuldur";"2013";6.8;221;182;39
"Fíkniefnabrot";"1999";34.7;962;648;314
"Fíkniefnabrot";"2000";27.7;780;479;301
"Fíkniefnabrot";"2001";31.9;910;617;293
"Fíkniefnabrot";"2002";34.6;994;677;317
"Fíkniefnabrot";"2003";47.9;1385;905;480
"Fíkniefnabrot";"2004";57.1;1671;1077;592
"Fíkniefnabrot";"2005";61.4;1816;1149;666
"Fíkniefnabrot";"2006";68.9;2098;1399;699
"Fíkniefnabrot";"2007";59.3;1847;1286;560
"Fíkniefnabrot";"2008";51.1;1590;905;683
"Fíkniefnabrot";"2009";43.2;1377;831;546
"Fíkniefnabrot";"2010";51.1;1624;1031;593
"Fíkniefnabrot";"2011";59.1;1885;1179;706
"Fíkniefnabrot";"2012";63.9;2049;1321;728
"Fíkniefnabrot";"2013";67.4;2183;1514;669
"Áfengislög";"1999";82.9;2297;1576;721
"Áfengislög";"2000";94.8;2665;2002;663
"Áfengislög";"2001";78.2;2230;1719;511
"Áfengislög";"2002";69.0;1984;1442;542
"Áfengislög";"2003";69.5;2009;1482;527
"Áfengislög";"2004";49.8;1456;1059;397
"Áfengislög";"2005";59.6;1762;1280;482
"Áfengislög";"2006";52.8;1607;1026;580
"Áfengislög";"2007";42.0;1309;779;529
"Áfengislög";"2008";28.4;885;430;455
"Áfengislög";"2009";18.9;603;280;323
"Áfengislög";"2010";24.6;780;396;384
"Áfengislög";"2011";20.8;665;308;357
"Áfengislög";"2012";20.1;644;327;317
"Áfengislög";"2013";21.9;710;381;329
"Umferðarlagabrot";"1999";2263.3;62735;35110;27625
"Umferðarlagabrot";"2000";2376.4;66813;38594;28219
"Umferðarlagabrot";"2001";2068.7;58968;32073;26895
"Umferðarlagabrot";"2002";2296.7;66045;37129;28916
"Umferðarlagabrot";"2003";1964.1;56817;28909;27906
"Umferðarlagabrot";"2004";1905.5;55751;28637;27104
"Umferðarlagabrot";"2005";1469.9;43488;22827;20651
"Umferðarlagabrot";"2006";1725.5;52514;26290;26222
"Umferðarlagabrot";"2007";1919.4;59769;26435;33328
"Umferðarlagabrot";"2008";1811.2;56401;27141;29260
"Umferðarlagabrot";"2009";1733.4;55337;24616;30721
"Umferðarlagabrot";"2010";1720.3;54637;27307;27330
"Umferðarlagabrot";"2011";1264.6;40343;22694;17647
"Umferðarlagabrot";"2012";1419.5;45525;25162;20362
"Umferðarlagabrot";"2013";1152.7;37320;19886;17433
"Önnur brot";"1999";107.0;2965;1364;1601
"Önnur brot";"2000";108.6;3052;1306;1746
"Önnur brot";"2001";93.4;2663;1394;1169
"Önnur brot";"2002";119.6;3439;1598;1642
"Önnur brot";"2003";130.1;3763;1595;2049
"Önnur brot";"2004";118.0;3453;1614;1738
"Önnur brot";"2005";126.6;3745;934;2715
"Önnur brot";"2006";71.9;2187;931;1201
"Önnur brot";"2007";80.6;2509;1374;988
"Önnur brot";"2008";68.5;2133;843;1000
"Önnur brot";"2009";58.6;1872;836;1036
"Önnur brot";"2010";58.1;1856;954;902
"Önnur brot";"2011";55.3;1763;898;645
"Önnur brot";"2012";65.1;2088;1351;634
"Önnur brot";"2013";60.9;1973;1166;617
